Months,Avg_Close_Monthly,Total_Volume_Monthly,Total_Turnover_Monthly
January,422.7733974358972,3414740544,88381325.21999994
February,422.2887356321838,3764035781,95595150.12999995
March,421.3093612334803,4344757321,102293889.95999989
April,427.54573459715647,2716854711,67793419.16000006
May,430.57015590200433,2926482107,77027730.01000004
June,436.9317371937639,2989622238,76150152.61999999
July,446.56060606060623,3288951228,87106302.33999997
August,450.25859728506816,2737447160,70213803.28000005
September,426.86983758700717,3103876433,77034618.9599999
October,376.87529137529157,2987668805,70485909.72
November,377.6574292452824,2953495162,71194311.05
December,399.31768707482996,2832882110,71484730.3
